date,L_1,L_2,L_3,L_4,L_5,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
11/22/2023,13,17,19,33,35,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,2,0,0,1,2,0,2,2,0,2,0,1,0,1,1,1,2,1,2,2,1
11/23/2023,9,21,29,33,37,0,1,1,0,0,1,0,1,2,1,1,1,1,2,0,0,0,1,0,1,2,0,1,1,1,1,2,1,1,0,0,0,1,1,0,0,3,1,0
11/24/2023,1,27,34,35,38,2,1,0,0,1,0,0,0,1,0,1,2,2,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,2,1,1,0,1,2,2,0,0,2,0
11/25/2023,10,32,33,34,37,2,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,3,0,0,1,1,3,1,3,1,0,3,1,1
11/26/2023,1,10,12,13,27,2,3,0,1,0,0,1,0,1,2,1,3,1,0,1,0,1,0,2,1,1,0,0,1,0,1,2,1,0,2,0,1,0,0,1,0,0,0,0
11/27/2023,2,9,19,23,33,1,2,0,0,1,0,0,1,1,1,0,2,1,0,1,0,1,0,2,0,1,1,1,1,1,0,3,1,1,1,1,1,1,1,0,0,1,0,0
11/28/2023,3,6,26,29,39,0,1,1,0,0,2,0,0,3,0,0,1,2,0,0,1,2,1,0,0,3,1,1,0,0,1,0,0,2,0,2,0,0,0,0,1,2,0,3
11/29/2023,2,27,32,35,39,0,1,1,0,1,0,1,2,0,1,1,0,0,2,3,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3,0,1,2,1,2,1,2
11/30/2023,1,13,14,16,26,2,1,0,2,1,1,2,0,0,1,0,2,1,1,0,2,1,0,0,0,2,2,0,0,1,2,1,0,0,0,1,2,0,0,0,0,0,2,0
12/1/2023,6,20,31,32,33,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,0,0,0,0,0
12/2/2023,9,11,20,21,35,0,3,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,2,4,1,0,0,1,1,0,1,1,0,2,0,1,1,2,1,1,1,2
12/3/2023,3,10,18,23,27,1,0,1,0,0,0,2,0,1,2,1,0,1,1,0,3,0,2,0,2,1,0,1,1,0,1,2,2,0,0,1,1,0,0,0,1,1,0,1
12/4/2023,12,17,19,32,34,0,0,1,0,2,0,1,1,1,1,1,3,0,2,0,0,1,1,3,0,1,1,0,0,2,1,0,0,0,1,0,1,1,2,0,0,2,0,0
12/5/2023,10,13,16,27,38,1,0,0,1,1,0,0,1,3,1,4,1,2,1,0,1,0,0,1,0,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,1,0,2,2
12/6/2023,1,3,20,27,35,1,0,2,0,1,1,1,1,0,1,0,1,0,2,0,1,1,0,2,1,0,0,2,1,0,1,1,0,1,2,0,0,3,0,1,1,1,0,0
12/7/2023,5,11,19,22,37,0,1,1,1,1,0,0,1,1,3,3,1,0,1,0,1,2,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,0,1
12/8/2023,3,8,19,22,30,0,0,3,0,2,0,0,1,0,1,0,0,0,1,0,0,2,1,2,1,2,1,0,1,1,0,0,1,1,2,1,0,0,1,1,0,2,1,1
12/9/2023,11,14,20,29,34,0,2,1,0,0,0,2,1,1,0,1,1,2,2,1,0,1,1,0,2,1,0,1,2,0,1,0,2,1,0,0,1,0,1,0,1,0,0,1
12/10/2023,8,13,23,27,28,2,1,1,2,0,0,1,2,0,2,0,0,2,0,1,2,1,0,2,2,0,0,1,0,0,2,1,2,0,0,0,0,1,0,0,0,1,1,0
12/11/2023,3,4,27,32,38,1,0,1,3,1,0,1,2,2,1,2,0,0,1,1,0,2,0,2,0,0,1,0,0,1,1,1,0,3,0,0,1,0,0,0,0,0,1,1
12/12/2023,1,8,17,20,37,3,1,1,0,0,1,0,1,1,0,2,2,1,0,1,0,1,2,2,1,0,0,0,1,0,1,2,1,0,0,0,1,2,0,0,1,1,0,0
12/13/2023,8,12,18,32,39,1,1,1,1,1,0,0,1,0,0,3,2,1,1,1,0,2,2,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,2
12/14/2023,1,7,23,28,37,1,4,0,2,0,1,1,1,2,2,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,2,1,1
12/15/2023,15,28,35,36,39,1,3,1,1,0,0,0,1,1,0,1,0,0,1,1,2,0,2,0,0,0,1,0,1,1,1,1,2,1,0,1,0,0,0,2,1,0,1,2
12/16/2023,5,11,12,22,30,0,0,1,0,2,0,0,2,2,1,1,1,0,1,0,1,2,1,0,2,1,1,2,0,1,0,2,0,0,2,0,0,0,1,1,0,0,1,1
12/17/2023,1,3,8,28,34,2,0,1,1,0,2,1,2,1,2,0,1,1,0,1,1,1,0,0,0,0,1,1,0,2,1,0,1,1,0,0,2,0,1,1,1,1,0,0
12/18/2023,14,20,23,31,32,0,1,0,0,0,0,1,0,3,0,3,1,1,2,0,1,1,1,0,2,0,0,1,1,1,0,1,0,0,0,1,2,0,1,0,1,0,2,2
12/19/2023,16,22,27,30,38,1,1,0,1,1,1,0,0,2,1,2,0,2,0,0,2,0,1,1,1,0,2,2,0,0,0,2,0,0,2,0,0,1,0,0,2,0,1,1
12/20/2023,15,18,21,27,28,0,1,2,1,1,2,0,2,0,0,0,1,0,0,2,0,0,2,1,1,1,0,1,0,2,0,2,1,1,1,0,0,0,1,1,0,1,0,2
12/21/2023,5,8,19,21,24,0,1,1,1,2,0,0,2,1,0,2,0,3,0,0,0,1,0,1,1,3,0,0,2,1,0,1,0,1,2,1,0,2,0,0,0,0,0,1
12/22/2023,1,8,15,18,19,1,2,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,2,1,1,0,1,1,0,3,0,1,0,2,1,3,1,0,2,2,0,0,0
12/23/2023,9,17,22,31,32,1,0,1,0,0,1,1,0,2,0,2,1,0,0,0,2,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,2,1,0,0,1,1,2,1
12/24/2023,9,11,28,33,34,0,1,1,1,0,0,1,1,2,0,2,0,0,2,0,1,1,1,0,1,0,1,1,2,1,0,2,1,2,0,0,0,2,1,0,0,0,2,0
